"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"113","THE TRE VER","64 Potong Pasir Avenue 1  #19-21",1,46,"Strata",873000,"-",18978,1763,"25-SEP-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358393","Central Region","Toa Payoh","Singapore","Singapore"
"114","THE TRE VER","64 Potong Pasir Avenue 1  #17-21",1,46,"Strata",865000,"-",18804,1747,"25-SEP-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358393","Central Region","Toa Payoh","Singapore","Singapore"
"115","AVILA GARDENS","17 Flora Road  #05-07",1,123,"Strata",1e+06,"-",8130,755,"25-SEP-2020","Condominium","Freehold","1995","Resale","HDB","17","50","509735","East Region","Pasir Ris","Singapore","Singapore"
"116","1 CANBERRA","17 Canberra Drive  #09-34",1,134,"Strata",1300000,"-",9701,901,"25-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768074","North Region","Yishun","Singapore","Singapore"
"117","1 CANBERRA","21 Canberra Drive  #09-42",1,88,"Strata",898000,"-",10205,948,"25-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","Private","27","76","768076","North Region","Yishun","Singapore","Singapore"
"118","THE MINTON","10A Hougang Street 11  #11-35",1,154,"Strata",1810000,"-",11753,1092,"25-SEP-2020","Condominium","99 Yrs From 27/07/2007","2013","Resale","Private","19","53","534079","North East Region","Hougang","Singapore","Singapore"
"119","VILLA MARINA","21 Jalan Sempadan  #02-15",1,119,"Strata",1300000,"-",10924,1015,"25-SEP-2020","Condominium","99 Yrs From 13/02/1995","1999","Resale","HDB","15","45","457398","East Region","Bedok","Singapore","Singapore"
"120","PARC OASIS","53 Jurong East Avenue 1  #06-05",1,128,"Strata",1200000,"-",9375,871,"25-SEP-2020","Condominium","99 Yrs From 01/12/1991","1994","Resale","Private","22","60","609783","West Region","Jurong East","Singapore","Singapore"
"121","PARK COLONIAL","4 Woodleigh Lane  #04-14",1,91,"Strata",1838000,"-",20198,1876,"25-SEP-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357686","Central Region","Toa Payoh","Singapore","Singapore"
"122","NOUVEL 18","16 Anderson Road  #17-02",1,164,"Strata",5159000,"-",31457,2922,"25-SEP-2020","Condominium","Freehold","2014","Resale","Private","10","25","259987","Central Region","Newton","Singapore","Singapore"
"123","DAINTREE RESIDENCE","11E Toh Tuck Road  #05-25",1,98,"Strata",1945430,"-",19851,1844,"25-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596127","Central Region","Bukit Timah","Singapore","Singapore"
"124","DAINTREE RESIDENCE","11F Toh Tuck Road  #02-27",1,72,"Strata",1265220,"-",17573,1633,"25-SEP-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596128","Central Region","Bukit Timah","Singapore","Singapore"
"125","THE JOVELL","15 Flora Drive  #02-16",1,59,"Strata",807800,"-",13692,1272,"25-SEP-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","N.A","17","50","506854","East Region","Pasir Ris","Singapore","Singapore"
"126","NOUVEL 18","18 Anderson Road  #16-06",1,262,"Strata",8824000,"-",33679,3129,"25-SEP-2020","Condominium","Freehold","2014","Resale","Private","10","25","259977","Central Region","Newton","Singapore","Singapore"
"127","THE MADEIRA","50 Bukit Batok Street 31  #27-06",1,98,"Strata",930000,"-",9490,882,"25-SEP-2020","Condominium","99 Yrs From 14/08/2000","2003","Resale","HDB","23","65","659442","West Region","Bukit Batok","Singapore","Singapore"
"128","WATERBANK AT DAKOTA","70 Dakota Crescent  #18-03",1,82,"Strata",1435000,"-",17500,1626,"25-SEP-2020","Condominium","99 Yrs From 07/12/2009","2013","Resale","Private","14","39","399941","Central Region","Geylang","Singapore","Singapore"
"129","HILLINGTON GREEN","47 Hillview Avenue  #06-03",1,126,"Strata",1700000,"-",13492,1253,"25-SEP-2020","Condominium","999 Yrs From 19/05/1883","2002","Resale","HDB","23","66","669614","West Region","Bukit Batok","Singapore","Singapore"
"130","HILLVIEW REGENCY","26 Bukit Batok East Avenue 2  #12-11",1,103,"Strata",948000,"-",9204,855,"25-SEP-2020","Condominium","99 Yrs From 20/06/2000","2005","Resale","HDB","23","65","659920","West Region","Bukit Batok","Singapore","Singapore"
"131","GUILIN VIEW","24 Bukit Batok Street 52  #08-02",1,119,"Strata",980000,"-",8235,765,"24-SEP-2020","Condominium","99 Yrs From 24/04/1996","2000","Resale","Private","23","65","659246","West Region","Bukit Batok","Singapore","Singapore"
"132","ROCHELLE AT NEWTON","188 Keng Lee Road  #18-02",1,162,"Strata",2790400,"-",17225,1600,"24-SEP-2020","Condominium","99 Yrs From 10/03/2008","2012","Resale","Private","11","30","308414","Central Region","Novena","Singapore","Singapore"
"133","PRIVE","33 Punggol Field  #02-13",1,93,"Strata",942000,"-",10129,941,"24-SEP-2020","Executive Condominium","99 Yrs From 14/09/2010","2013","Resale","Private","19","82","828817","North East Region","Punggol","Singapore","Singapore"
"134","THE BAYSHORE","24 Bayshore Road  #04-03",1,89,"Strata",9e+05,"-",10112,939,"24-SEP-2020","Condominium","99 Yrs From 31/05/1993","1996","Resale","HDB","16","46","469971","East Region","Bedok","Singapore","Singapore"
"135","RIDGEWOOD","61 Mount Sinai Drive  #03-03",1,184,"Strata",2550000,"-",13859,1288,"24-SEP-2020","Condominium","999 Yrs From 06/07/1885","1981","Resale","Private","10","27","277113","Central Region","Bukit Timah","Singapore","Singapore"
"136","TWIN WATERFALLS","112 Punggol Walk  #08-26",1,101,"Strata",1058000,"-",10475,973,"24-SEP-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828766","North East Region","Punggol","Singapore","Singapore"
"137","SAVANNAH CONDOPARK","65 Simei Rise  #09-71",1,211,"Strata",1730000,"-",8199,762,"24-SEP-2020","Condominium","99 Yrs From 29/11/2000","2005","Resale","Private","18","52","528796","East Region","Tampines","Singapore","Singapore"
"138","THE GARDENS AT BISHAN","7 Sin Ming Walk  #11-11",1,112,"Strata",1420000,"-",12679,1178,"24-SEP-2020","Condominium","99 Yrs From 22/03/1997","2004","Resale","HDB","20","57","575577","Central Region","Bishan","Singapore","Singapore"
"139","JADESCAPE","2 Shunfu Road  #13-04",1,49,"Strata",922000,"-",18816,1748,"24-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"140","PARC CANBERRA","13 Canberra Walk  #08-26",1,88,"Strata",1043000,"-",11852,1101,"24-SEP-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756947","North Region","Sembawang","Singapore","Singapore"
"141","HILLTOP GROVE","134 Hillview Avenue  #05-02",1,115,"Strata",1030000,"-",8957,832,"24-SEP-2020","Condominium","99 Yrs From 12/06/1996","2001","Resale","Private","23","66","669619","West Region","Bukit Batok","Singapore","Singapore"
"142","REFLECTIONS AT KEPPEL BAY","15 Keppel Bay View  #04-49",1,102,"Strata",1630000,"-",15980,1485,"24-SEP-2020","Condominium","99 Yrs From 15/03/2006","2011","Resale","HDB","04","09","098410","Central Region","Bukit Merah","Singapore","Singapore"
"143","SKY@ELEVEN","11 Thomson Lane  #40-09",1,172,"Strata",3520000,"-",20465,1901,"24-SEP-2020","Condominium","Freehold","2010","Resale","Private","11","29","297727","Central Region","Toa Payoh","Singapore","Singapore"
"144","JADESCAPE","4 Shunfu Road  #09-17",1,132,"Strata",2458200,"-",18623,1730,"24-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"145","JADESCAPE","6 Shunfu Road  #22-23",1,71,"Strata",1370000,"-",19296,1793,"24-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575744","Central Region","Bishan","Singapore","Singapore"
"146","THE TRE VER","68 Potong Pasir Avenue 1  #11-35",1,102,"Strata",1768000,"-",17333,1610,"24-SEP-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358395","Central Region","Toa Payoh","Singapore","Singapore"
"147","PARK COLONIAL","2 Woodleigh Lane  #06-07",1,94,"Strata",1875000,"-",19947,1853,"24-SEP-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","N.A","13","35","357685","Central Region","Toa Payoh","Singapore","Singapore"
"148","EUPHONY GARDENS","3 Jalan Mata Ayer  #04-09",1,228,"Strata",1380000,"-",6053,562,"24-SEP-2020","Condominium","99 Yrs From 25/02/1998","2001","Resale","HDB","27","75","759150","North Region","Mandai","Singapore","Singapore"
"149","THE NAUTICAL","99 Jalan Sendudok  #01-86",1,129,"Strata",1190000,"-",9225,857,"24-SEP-2020","Condominium","99 Yrs From 29/08/2011","2015","Resale","HDB","27","76","769475","North Region","Sembawang","Singapore","Singapore"
"150","CITYLIGHTS","88 Jellicoe Road  #23-25",1,83,"Strata",1350000,"-",16265,1511,"24-SEP-2020","Condominium","99 Yrs From 05/01/2004","2007","Resale","Private","08","20","208747","Central Region","Kallang","Singapore","Singapore"
"151","CARIBBEAN AT KEPPEL BAY","16 Keppel Bay Drive  #01-22",1,106,"Strata",1600000,"-",15094,1402,"24-SEP-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","Private","04","09","098643","Central Region","Bukit Merah","Singapore","Singapore"
"152","ORCHID PARK CONDOMINIUM","89 Yishun Street 81  #03-08",1,107,"Strata",7e+05,"-",6542,608,"24-SEP-2020","Condominium","99 Yrs From 01/09/1991","1994","Resale","HDB","27","76","768449","North Region","Yishun","Singapore","Singapore"
"153","ARDMORE PARK","15 Ardmore Park  #13-02",1,268,"Strata",8500000,"-",31716,2947,"24-SEP-2020","Condominium","Freehold","2001","Resale","Private","10","25","259959","Central Region","Newton","Singapore","Singapore"
"154","THE JOVELL","19 Flora Drive  #07-32",1,84,"Strata",1128000,"-",13429,1248,"24-SEP-2020","Condominium","99 Yrs From 08/03/2018","Uncompleted","New Sale","N.A","17","50","506760","East Region","Pasir Ris","Singapore","Singapore"
"155","MAYFAIR MODERN","2 Rifle Range Road  #05-02",1,47,"Strata",1058000,"-",22511,2091,"24-SEP-2020","Condominium","99 Yrs From 18/09/2018","Uncompleted","New Sale","N.A","21","58","588373","Central Region","Bukit Timah","Singapore","Singapore"
"156","PIERMONT GRAND","40 Sumang Walk  #07-37",1,78,"Strata",958230,"-",12285,1141,"24-SEP-2020","Executive Condominium","99 Yrs From 04/06/2018","Uncompleted","New Sale","N.A","19","82","828625","North East Region","Punggol","Singapore","Singapore"
"157","COSTA DEL SOL","76 Bayshore Road  #19-17",1,163,"Strata",2400000,"-",14724,1368,"24-SEP-2020","Condominium","99 Yrs From 05/05/1997","2003","Resale","Private","16","46","469990","East Region","Bedok","Singapore","Singapore"
"158","NORTHWOOD","72 Jalan Mata Ayer  #03-26",1,122,"Strata",1218450,"-",9987,928,"24-SEP-2020","Condominium","Freehold","2009","Resale","HDB","27","75","757489","North Region","Mandai","Singapore","Singapore"
"159","THE CREST","103 Prince Charles Crescent  #05-12",1,111,"Strata",2200000,"-",19820,1841,"24-SEP-2020","Condominium","99 Yrs From 21/12/2012","2017","Resale","Private","03","15","159018","Central Region","Bukit Merah","Singapore","Singapore"
"160","JADESCAPE","2 Shunfu Road  #10-08",1,117,"Strata",2188700,"-",18707,1738,"23-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575742","Central Region","Bishan","Singapore","Singapore"
"161","RIVERSAILS","16 Upper Serangoon Crescent  #10-41",1,99,"Strata",1095000,"-",11061,1028,"23-SEP-2020","Condominium","99 Yrs From 07/12/2011","2016","Resale","HDB","19","53","534028","North East Region","Hougang","Singapore","Singapore"
"162","THE CASCADIA","943 Bukit Timah Road  #07-47",1,110,"Strata",2035000,"-",18500,1719,"23-SEP-2020","Condominium","Freehold","2010","Resale","HDB","21","58","589659","Central Region","Bukit Timah","Singapore","Singapore"
"163","OCEAN PARK","528 East Coast Road  #16-04",1,196,"Strata",3380000,"-",17245,1602,"23-SEP-2020","Condominium","Freehold","1984","Resale","Private","15","45","458969","East Region","Bedok","Singapore","Singapore"
"164","OASIS @ ELIAS","72 Elias Road  #10-22",1,119,"Strata",1085000,"-",9118,847,"23-SEP-2020","Condominium","99 Yrs From 17/03/2008","2011","Resale","HDB","18","51","519944","East Region","Pasir Ris","Singapore","Singapore"
"165","PATERSON SUITES","57 Paterson Road  #04-05",1,205,"Strata",5e+06,"-",24390,2266,"23-SEP-2020","Condominium","Freehold","2010","Resale","Private","09","23","238551","Central Region","River Valley","Singapore","Singapore"
"166","RIVERPARC RESIDENCE","94 Punggol Drive  #18-11",1,205,"Strata",1300000,"-",6341,589,"23-SEP-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","Private","19","82","828796","North East Region","Punggol","Singapore","Singapore"
"167","PRIVE","31 Punggol Field  #04-04",1,102,"Strata",930000,"-",9118,847,"23-SEP-2020","Executive Condominium","99 Yrs From 14/09/2010","2013","Resale","HDB","19","82","828816","North East Region","Punggol","Singapore","Singapore"
"168","PRIVE","37 Punggol Field  #09-39",1,72,"Strata",785000,"-",10903,1013,"23-SEP-2020","Executive Condominium","99 Yrs From 14/09/2010","2013","Resale","HDB","19","82","828809","North East Region","Punggol","Singapore","Singapore"
"169","TWIN WATERFALLS","104 Punggol Walk  #04-12",1,85,"Strata",875000,"-",10294,956,"23-SEP-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828792","North East Region","Punggol","Singapore","Singapore"
"170","JADESCAPE","10 Shunfu Road  #14-35",1,71,"Strata",1416000,"-",19944,1853,"23-SEP-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"171","COSTA DEL SOL","70 Bayshore Road  #30-08",1,166,"Strata",2090000,"-",12590,1170,"23-SEP-2020","Condominium","99 Yrs From 05/05/1997","2004","Resale","Private","16","46","469987","East Region","Bedok","Singapore","Singapore"
"172","TREVISTA","21 Lorong 3 Toa Payoh  #14-02",1,43,"Strata",605000,"-",14070,1307,"23-SEP-2020","Condominium","99 Yrs From 15/07/2008","2011","Resale","Private","12","31","319581","Central Region","Toa Payoh","Singapore","Singapore"
"173","THE CHUAN","31 Lorong Chuan  #08-03",1,127,"Strata",2050000,"-",16142,1500,"23-SEP-2020","Condominium","999 Yrs From 21/06/1877","2007","Resale","Private","19","55","556820","North East Region","Serangoon","Singapore","Singapore"
"174","BARTLEY RIDGE","36 Mount Vernon Road  #11-21",1,67,"Strata",1050000,"-",15672,1456,"23-SEP-2020","Condominium","99 Yrs From 16/04/2012","2016","Resale","Private","13","36","368058","Central Region","Toa Payoh","Singapore","Singapore"
"175","TANAMERA CREST","10 Pari Dedap Walk  #09-16",1,80,"Strata",790000,"-",9875,917,"23-SEP-2020","Condominium","99 Yrs From 20/06/2000","2004","Resale","Private","16","48","486062","East Region","Bedok","Singapore","Singapore"
"176","BLOSSOM RESIDENCES","30 Segar Road  #08-10",1,90,"Strata",840000,"-",9333,867,"23-SEP-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","HDB","23","67","677721","West Region","Bukit Panjang","Singapore","Singapore"
"177","CASABLANCA","21 Rosewood Drive  #08-03",1,83,"Strata",705000,"-",8494,789,"23-SEP-2020","Condominium","99 Yrs From 02/10/2001","2005","Resale","HDB","25","73","737917","North Region","Woodlands","Singapore","Singapore"
"178","SCOTTS 28","28 Scotts Road  #17-05",1,189,"Strata",4150000,"-",21958,2040,"23-SEP-2020","Condominium","Freehold","1998","Resale","Private","09","22","228223","Central Region","Newton","Singapore","Singapore"
"179","CARIBBEAN AT KEPPEL BAY","8 Keppel Bay Drive  #05-09",1,119,"Strata",1770000,"-",14874,1382,"23-SEP-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","Private","04","09","098639","Central Region","Bukit Merah","Singapore","Singapore"
"180","PEBBLE BAY","130 Tanjong Rhu Road  #04-09",1,244,"Strata",4100000,"-",16803,1561,"23-SEP-2020","Condominium","99 Yrs From 09/03/1994","1997","Resale","Private","15","43","436918","Central Region","Kallang","Singapore","Singapore"
"181","THE SUMMIT","457 Upper East Coast Road  #01-03",1,115,"Strata",1590000,"-",13826,1284,"23-SEP-2020","Condominium","Freehold","1992","Resale","HDB","16","46","466503","East Region","Bedok","Singapore","Singapore"
"182","DE ROYALE","31 Jalan Rama Rama  #17-03",1,117,"Strata",1720000,"-",14701,1366,"23-SEP-2020","Condominium","Freehold","2006","Resale","Private","12","32","329111","Central Region","Novena","Singapore","Singapore"
"183","8@WOODLEIGH","6 Woodleigh Close  #03-14",1,77,"Strata",1065000,"-",13831,1285,"23-SEP-2020","Condominium","99 Yrs From 22/09/2008","2012","Resale","Private","13","35","357902","Central Region","Toa Payoh","Singapore","Singapore"
"184","MAYFAIR MODERN","6 Rifle Range Road  #05-14",1,75,"Strata",1684000,"-",22453,2086,"23-SEP-2020","Condominium","99 Yrs From 18/09/2018","Uncompleted","New Sale","N.A","21","58","588375","Central Region","Bukit Timah","Singapore","Singapore"
"185","PALM ISLES","36 Flora Drive  #03-33",1,353,"Strata",2050000,"-",5807,540,"23-SEP-2020","Condominium","99 Yrs From 14/09/2011","2015","Resale","Private","17","50","506894","East Region","Pasir Ris","Singapore","Singapore"
"186","THE TEMBUSU","107 Tampines Road  #14-01",1,70,"Strata",1320000,"-",18857,1752,"23-SEP-2020","Condominium","Freehold","2016","Resale","Private","19","53","535129","North East Region","Hougang","Singapore","Singapore"
"187","HILLVIEW REGENCY","26 Bukit Batok East Avenue 2  #20-03",1,111,"Strata",1102888,"-",9936,923,"23-SEP-2020","Condominium","99 Yrs From 20/06/2000","2005","Resale","HDB","23","65","659920","West Region","Bukit Batok","Singapore","Singapore"
"188","1 CANBERRA","17 Canberra Drive  #03-33",1,116,"Strata",1130000,"-",9741,905,"23-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768074","North Region","Yishun","Singapore","Singapore"
"189","WATERBANK AT DAKOTA","70 Dakota Crescent  #15-01",1,45,"Strata",830000,"-",18444,1714,"23-SEP-2020","Condominium","99 Yrs From 07/12/2009","2013","Resale","Private","14","39","399941","Central Region","Geylang","Singapore","Singapore"
